C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res3_w1_tunable_l75.son DE_EMBEDDED Lk=0.0 l=75.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res3_w1_tunable_l75
13,-0.227752
13.0005,-0.227779
13.001,-0.227807
13.0015,-0.227834
13.002,-0.227861
13.0025,-0.227889
13.003,-0.227916
13.0035,-0.227943
13.004,-0.227971
13.0045,-0.227998
13.005,-0.228025
13.0055,-0.228053
13.006,-0.22808
13.0065,-0.228107
13.007,-0.228135
13.0075,-0.228162
13.008,-0.22819
13.0085,-0.228217
13.009,-0.228244
13.0095,-0.228271
13.01,-0.228299
13.0105,-0.228326
13.011,-0.228353
13.0115,-0.228381
13.012,-0.228408
13.0125,-0.228435
13.013,-0.228463
13.0135,-0.22849
13.014,-0.228517
13.0145,-0.228545
13.015,-0.228572
13.0155,-0.228599
13.016,-0.228626
13.0165,-0.228654
13.017,-0.228681
13.0175,-0.228708
13.018,-0.228735
13.0185,-0.228763
13.019,-0.22879
13.0195,-0.228817
13.02,-0.228844
13.0205,-0.228872
13.021,-0.228899
13.0215,-0.228926
13.022,-0.228953
13.0225,-0.228981
13.023,-0.229008
13.0235,-0.229035
13.024,-0.229062
13.0245,-0.22909
13.025,-0.229117
13.0255,-0.229144
13.026,-0.229171
13.0265,-0.229198
13.027,-0.229226
13.0275,-0.229253
13.028,-0.22928
13.0285,-0.229307
13.029,-0.229334
13.0295,-0.229361
13.03,-0.229389
13.0305,-0.229416
13.031,-0.229443
13.0315,-0.22947
13.032,-0.229497
13.0325,-0.229524
13.033,-0.229552
13.0335,-0.229579
13.034,-0.229606
13.0345,-0.229633
13.035,-0.22966
13.0355,-0.229687
13.036,-0.229714
13.0365,-0.229741
13.037,-0.229769
13.0375,-0.229796
13.038,-0.229823
13.0385,-0.22985
13.039,-0.229877
13.0395,-0.229904
13.04,-0.229931
13.0405,-0.229958
13.041,-0.229985
13.0415,-0.230012
13.042,-0.230039
13.0425,-0.230066
13.043,-0.230094
13.0435,-0.230121
13.044,-0.230148
13.0445,-0.230175
13.045,-0.230202
13.0455,-0.230229
13.046,-0.230256
13.0465,-0.230283
13.047,-0.23031
13.0475,-0.230337
13.048,-0.230364
13.0485,-0.230391
13.049,-0.230418
13.0495,-0.230445
13.05,-0.230472
13.0505,-0.230499
13.051,-0.230526
13.0515,-0.230553
13.052,-0.23058
13.0525,-0.230607
13.053,-0.230634
13.0535,-0.230661
13.054,-0.230688
13.0545,-0.230714
13.055,-0.230741
13.0555,-0.230768
13.056,-0.230795
13.0565,-0.230822
13.057,-0.230849
13.0575,-0.230876
13.058,-0.230903
13.0585,-0.23093
13.059,-0.230957
13.0595,-0.230984
13.06,-0.23101
13.0605,-0.231037
13.061,-0.231064
13.0615,-0.231091
13.062,-0.231118
13.0625,-0.231145
13.063,-0.231172
13.0635,-0.231199
13.064,-0.231225
13.0645,-0.231252
13.065,-0.231279
13.0655,-0.231306
13.066,-0.231333
13.0665,-0.231359
13.067,-0.231386
13.0675,-0.231413
13.068,-0.23144
13.0685,-0.231467
13.069,-0.231493
13.0695,-0.23152
13.07,-0.231547
13.0705,-0.231574
13.071,-0.231601
13.0715,-0.231627
13.072,-0.231654
13.0725,-0.231681
13.073,-0.231708
13.0735,-0.231734
13.074,-0.231761
13.0745,-0.231788
13.075,-0.231814
13.0755,-0.231841
13.076,-0.231868
13.0765,-0.231895
13.077,-0.231921
13.0775,-0.231948
13.078,-0.231975
13.0785,-0.232001
13.079,-0.232028
13.0795,-0.232055
13.08,-0.232081
13.0805,-0.232108
13.081,-0.232135
13.0815,-0.232161
13.082,-0.232188
13.0825,-0.232214
13.083,-0.232241
13.0835,-0.232268
13.084,-0.232294
13.0845,-0.232321
13.085,-0.232347
13.0855,-0.232374
13.086,-0.232401
13.0865,-0.232427
13.087,-0.232454
13.0875,-0.23248
13.088,-0.232507
13.0885,-0.232533
13.089,-0.23256
13.0895,-0.232586
13.09,-0.232613
13.0905,-0.232639
13.091,-0.232666
13.0915,-0.232692
13.092,-0.232719
